Sale_Id,Date_Id,Product_Id,Store_Id,Customer_Id,Quantity_Sold,Unit_Price,Discount_Pct,Total_Amount
1,20251201,119,9,289,1,2956.72,0,2956.72
2,20241118,3,7,386,2,2631.02,10,4735.84
3,20240319,39,6,291,2,3883.73,0,7767.46
4,20250707,43,13,72,2,3747.63,5,7120.5
5,20240321,65,24,28,1,3541.34,0,3541.34
6,20240318,44,20,305,1,4747.67,10,4272.9
7,20240131,82,9,231,1,3179.41,0,3179.41
8,20250119,56,6,339,1,7088.96,10,6380.06
9,20241029,103,8,43,1,5201.47,0,5201.47
10,20251011,20,24,185,1,1915.63,0,1915.63
11,20241111,57,12,53,1,3796.83,0,3796.83
12,20250404,72,18,53,1,1667.62,0,1667.62
13,20240405,77,20,198,1,5233.57,0,5233.57
14,20240327,93,18,125,1,4029.05,0,4029.05
15,20250124,22,5,138,1,6438.69,0,6438.69
16,20250321,36,14,40,1,682.61,15,580.22
17,20251002,64,20,235,1,4068.92,0,4068.92
18,20250209,43,20,169,1,3747.63,0,3747.63
19,20251028,77,5,309,3,5233.57,0,15700.71
20,20241117,23,13,150,2,5336.87,5,10140.05
21,20250812,101,8,144,2,1131.31,0,2262.62
22,20240426,120,19,280,1,5078.17,10,4570.35
23,20240128,94,15,108,1,1460.17,0,1460.17
24,20251210,9,14,72,1,4835.47,0,4835.47
25,20251105,20,23,194,1,1915.63,20,1532.5
26,20250505,75,13,355,1,2266.5,0,2266.5
27,20250103,90,18,44,1,3873.38,0,3873.38
28,20251111,46,6,23,1,4179.48,5,3970.51
29,20251024,52,25,221,1,2796.94,0,2796.94
30,20240815,66,24,298,1,6204.11,0,6204.11
31,20250118,51,15,302,1,2879.69,0,2879.69
32,20240126,62,4,44,1,978.5,15,831.73
33,20240525,45,10,106,1,1364.28,0,1364.28
34,20240409,57,24,164,1,3796.83,0,3796.83
35,20251228,15,1,332,1,4621.37,10,4159.23
36,20240906,67,6,170,1,4800.44,20,3840.35
37,20240825,103,13,96,1,5201.47,0,5201.47
38,20240130,95,20,231,1,3960.41,0,3960.41
39,20251222,28,7,361,2,3988.05,0,7976.1
40,20240414,103,18,167,1,5201.47,0,5201.47
41,20251117,111,16,328,1,1506.58,0,1506.58
42,20250205,76,4,235,1,5042.37,10,4538.13
43,20251223,103,10,303,1,5201.47,0,5201.47
44,20240430,31,10,192,1,7243.85,0,7243.85
45,20250304,77,5,217,1,5233.57,5,4971.89
46,20251211,118,21,89,1,5698.72,0,5698.72
47,20240523,24,11,318,1,3205.37,0,3205.37
48,20240110,63,5,197,3,4196.34,0,12589.02
49,20250521,53,22,364,2,1453.18,0,2906.36
50,20240325,73,1,113,1,6348.65,0,6348.65
51,20250704,37,6,290,2,3761.37,10,6770.47
52,20250716,66,4,138,2,6204.11,10,11167.4
53,20250110,70,25,,2,3349.78,0,6699.56
